Artist,Id,Genres,New Name,name,id
,,,,YOASOBI,64tJ2EAv1R6UaZqc4iOCyj
,,,,Natanael Cano,0elWFr7TW8piilVRYJUe4P
,,,,Azul,0SWtMcmZLgP04Kj5x0eCxa
,,,,TRASHXRL,3rt96VXGtEgD4uSOJ6B69H
,,,,Zeynep Bastï¿½,1mpOD8ZwHnbsryIuXWq0R1
,,,,Chappell Roan,7GlBOeep6PqTfFi59PTUUN
,,,,Ava Max,4npEfmQ6YuiwW1GpUmaq3F
,,,,Ozuna,1i8SpTcr7yvPOmcqrbnVXY
,,,,James Hype,43BxCL6t4c73BQnIJtry5v
,,,,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT
,,,,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7
,,,,Calvin Harris,7CajNmpbOovFoOoasH2HaY
,,,,Anuel AA,2R21vXR83lH98kGeO99Y66
,,,,Idina Menzel,73Np75Wv2tju61Eo9Zw4IR
,,,,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p
,,,,Mavokali,5EIk6BWcEKUeHgmM0vD0cX
,,,,Tiï¿½ï¿,4OBJLual30L7gRl5UkeRcT
,,,,Regard,4ofCBoyEiGSePFAG500xev
,,,,Zerb,6mDl7lQiLxT0iQ8LYhAlWy
,,,,Reynmen,1Fg19vpUJpAAPFjnKaVYVW
,,,,daine,4lyCoxLN0aW7nJy5rec0tG
,,,,Stan Getz,0FMucZsEnCxs5pqBjHjIc8
,,,,Calle 24,6dLuQ5qXxIuWc5urxfIiZR
,,,,CYRIL,11kt6ggsdxvI8MhyeSMKom
,,,,Juliï¿½ï¿½n Kh,0pE8uQQUTfRxDOX4usUPBv
,,,,Abd El Fattah Grini,6ncRJcK3BssZxM1vE8M3J2
,,,,DJ Snake,540vIaP2JwjQb9dm3aArA4
,,,,Anitta,20yRKi8cMHXuBTCaUiXd1p
,,,,Emkal,4ZPLdCBeYJBAjsLTWRcZEs
,,,,Xamdam Sobirov,2McZmrjB0tJ7gBOj3S64b2
,,,,SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH
,,,,Young Thug,50co4Is1HCEo8bhOyUWKpn
,,,,Mï¿½ï¿½ne,1xl0sI03TJU34gcne44fri
,,,,MEYY,6ovTUUvyWpxSigzDhtfVs5
,,,,4batz,5fi7lIgJGH3RgUpJYcffQ7
,,,,Sub Urban,7gXb99Sf9nNmpNYeAgIQFG
,,,,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ
,,,,Chris Brown,7bXgB6jMjp9ATFy66eO08Z
,,,,Flo Milli,08PvCOlef4xdOr20jFSTPd
,,,,Bellakath,4yjm4SvYqC5FFuLbB6TyHr
,,,,HISTED,5Z56BMrvQB2rBAa5kffTPD
,,,,Bailey Zimmerman,3win9vGIxFfBRag9S63wwf
,,,,GloRilla,2qoQgPAilErOKCwE2Y8wOG
,,,,Avicii,1vCWHaC5f2uS3yhpwWbIA6
,,,,Ofenbach,4AKwRarlmsUlLjIwt38NLw
,,,,Bad Gyal,4F4pp8NUW08JuXwnoxglpN
,,,,Creeds,3IYUhFvPQItj6xySrBmZkd
,,,,Davido,0Y3agQaa6g2r0YmHPOO9rh
,,,,Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O
,,,,THE BOX,7gHzR22tDNSWGS4HkvvPgw
,,,,Yeat,3qiHUAX7zY4Qnjx8TNUzVx
,,,,French Montana,6vXTefBL93Dj5IqAWq6OTv
,,,,Benjamin Richter,1RS6si17QfSOAwrRjnCWH7
,,,,Stray Kids,2dIgFjalVxs4ThymZ67YCE
,,,,ALEX&RUS,3KW4FoYGtukfoyZK8ifDex
,,,,Adam Port,2loEsOijJ6XiGzWYFXMIRk
,,,,James Arthur,4IWBUUAFIplrNtaOHcJPRM
,,,,Dada Black Sheep,2VyeGWF9mVciGbWWQyp3Wd
,,,,Michael Marcagi,4j96cMcT8GRi11qbvo1cLQ
,,,,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
,,,,Gotye,2AsusXITU8P25dlRNhcAbG
,,,,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7
,,,,Kreepa,6XUob2lASlLLaavOTAw9Vb
,,,,Polo G,6AgTAQt8XS6jRWi4sX7w49
,,,,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7
,,,,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8
,,,,Chayanne,1JbemQ1fPt2YmSLjAFhPBv
,,,,Passenger,0gadJ2b9A4SKsB1RFkBb66
,,,,Lithe,7LVC96BEVGugTAp38AajV6
,,,,Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd
,,,,John Legend,5y2Xq6xcjJb2jVM54GHK3t
,,,,Sleepy Hallow,6EPlBSH2RSiettczlz7ihV
,,,,Don Toliver,4Gso3d4CscCijv0lmajZWs
,,,,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
,,,,Tayc,7gU9VyFRN3JWPJ5oHOil60
,,,,Chris Pine,5ueYs7bR3niiOeZdOSge5e
,,,,Carolina Gaitï¿½ï¿½n - La G,29PgYEggDV3cDP9QYTogwv
,,,,Juliï¿½ï¿½n ï¿½ï¿½lvarez y su Norteï,3u0dmpTyNtyUxBYghYyLxg
,,,,Rasha Nahas,6kA597KeEKoghJHvQ92RYO
,,,,Mustard,0YinUQ50QDB7ZxSCLyQ40k
