Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Artist Genres,Streams,Views,Likes,Playlist Count,Playlist Reach
Drama (feat. Drake),Exis,Roy Woods,2015-07-31,USWB11508706,0.5865519311586953,0.008923512747875357,0.11627452378771903,0.14713300168871138,0.07000305359296366,0.6631578947368421,0.005117115690017507,0.011217847128942596,0.0023471329218445903,0.0009444064332243356,0.0007641574183978056,6.150398045673125e-05,0.0034965034965034965,0.00012937265512062593,0.0009863322530646753,0.011093502377179081,0.00017755979110188093,0.004784688995215311,,,0.4283605601841006,0.005951162335960099,True,['trap soul'],0.13643769722000124,0.0029406365542076563,0.006081126781083465,0.04162692413940231,0.023414039121507427
Entre Nosotros,Entre Nosotros,Tiago PZK,2021-07-08,ARGT32100004,0.5871522913748249,0.008923512747875357,0.11026742666390751,0.11087736771055115,0.031974887053863255,0.6526315789473683,0.013577940199614733,0.027634073347445946,0.0028415851478224975,0.001599928298885953,0.0012689602318290353,,0.027972027972027972,0.0030470072729931767,0.004227138227420037,0.004754358161648178,0.00040012159048840543,0.028708133971291867,0.0009657937833777357,0.0005475448828095242,,0.006220996151942663,False,"['argentine trap', 'urbano latino']",0.029626841486924613,0.007423450215721884,0.01461700082316595,0.03457188653966574,0.01618750432217583
Lucky You (feat. Joyner Lucas),Kamikaze,Eminem,2018-08-31,USUM71813334,0.588953372023214,0.008923512747875357,0.16572811198648857,0.16626777847223279,0.10034830186493,0.7052631578947368,0.029322485093660016,0.09262534280780611,8.799534004651142e-05,8.497729315551134e-05,8.526806546174033e-05,0.0007921753178281457,0.054778554778554776,0.0010107941793554992,0.0019726645061293505,0.022187004754358162,0.005863249208486462,0.0861244019138756,0.09431342280063026,0.012002607054282594,0.00988942377251711,0.006648745627177585,True,"['rap', 'hip hop']",0.05458288344902416,0.014703876579560878,0.04635516005048081,0.06827206939466078,0.03566790879708154
Casanova,Casanova,Soolking,2023-12-07,FRPZ92346900,0.588152891735041,0.008923512747875357,0.01604699454310883,0.0207625116236528,0.041618727434944214,0.7578947368421052,0.0019265597482256297,0.003151698971904773,,4.801010709285718e-08,4.788401714520377e-07,0.009593511441643802,0.025641025641025644,0.005214280491166098,,0.049128367670364506,0.03198499584493906,0.09090909090909091,,,,0.0021176822489067993,False,"['french rap', 'pop urbaine', 'french r&b', 'moroccan pop']",0.010630637517137465,0.0009635192941985409,0.001575873491005933,0.04661024896103347,0.027732411573842358
Fruto,en dormir sin Madrid,Bizarrap,2023-10-03,UYB282301044,0.5877526515909546,0.008923512747875357,0.043940656434468366,0.036338629823286596,0.03801818344110664,,0.0014575187867656493,0.004288814808340735,8.480186677859828e-05,3.6972638852102144e-05,5.6632860679646614e-05,0.00020383603752583776,0.002331002331002331,0.0011981032843779707,,0.00792393026941363,0.0005853788205361613,0.09090909090909091,1.4675216721177102e-05,3.094818902836441e-05,,0.0009347593353796747,False,"['argentine trap', 'trap latino', 'urbano latino']",0.015051144978522503,0.0007570758237226479,0.0021628937235964184,0.027506720304364362,0.012935799433056214
Bandana,Bandana,Fireboy DML,2022-07-13,USUYG1433884,0.5869521713027818,0.008923512747875357,0.027787343675897528,0.053954074503168234,0.01719865175345569,0.6526315789473683,0.0008910370478484921,0.0014198742010138343,0.02834445287516207,0.0006530932443613834,0.0007253111327184931,,0.0606060606060606,0.004675415258098448,0.0007045230379033394,0.00792393026941363,0.009597959444206734,0.1339712918660287,0.00177891652983582,0.0001975922837964805,,0.01557915391729791,True,"['afrobeats', 'afrobeat', 'afropop', 'afro r&b', 'afropiano', 'afro soul', 'afroswing']",0.008736549625433783,0.0008081740902834925,0.001036483722687609,0.05133058990569352,0.013398305598831211
the perfect pair,Beatopia,beabadoobee,2022-07-15,GBK3W2202093,0.5873524114468681,0.008923512747875357,0.05374994928520596,0.09500483577832318,0.040741876755258956,0.7473684210526316,0.0021191173082930354,0.009866885148684614,0.0021806760415075998,0.002298739774775335,0.0015856891942212673,0.0006345644574791844,0.013986013986013986,0.01452573672102193,0.01831759898548683,0.003169572107765452,0.00034995337655006144,0.07655502392344497,0.000327917543409633,0.0004695131241482635,0.011559648904356195,0.0018628624545190024,False,['bedroom pop'],0.019696170287896112,0.0018524032512571512,0.0060828124617299745,0.03783699178393917,0.0139087981964294
F.N.F. (Let's Go),F.N.F. (Let's Go) - Single,Hitkidd,2022-05-03,QZRD92201643,0.5897538523113869,0.008923512747875357,0.015989660465142056,0.027674879867748664,0.01056956211818438,0.5578947368421052,0.006576619864588425,0.016912381369152622,0.0017693939806385543,0.0018871631420411482,0.0012919804598873123,0.06520141394911043,0.023310023310023312,0.09495952885853944,0.1373819923911512,0.0,1.846555434455177e-05,0.13875598086124402,,,0.026669308646300446,0.003075813411235662,True,[],0.06875012259028329,0.003934300162237869,0.009399772255596885,0.047435221009754,0.02526314720721312
Falling Angel,Falling Angel,HCTM,2022-08-13,SGB502232845,0.5885531318791275,0.008923512747875357,1.6799379534445246e-05,0.00013211583509911226,0.00016010312406814653,0.13684210526315788,1.9256552440889625e-06,1.2646210981744937e-05,0.0652740807756196,0.0023129177089387925,0.0049712443950048054,,,,,,,,,,,4.637057821026329e-05,False,"['tekno', 'hard techno']",1.6799379534445246e-05,0.002486585025124447,0.0011627819599602687,0.00013211583509911226,0.00016010312406814653
Sofia,Sofia,Clairo,2019-07-26,US4HB1900086,0.5893536121673004,0.008923512747875357,0.17025000297976092,0.24361482475173232,0.1407562956421551,0.7684210526315789,0.010344750647710517,0.037489162855176776,0.0024970629952695334,0.0023758047722423885,0.0013441785834004136,9.905473497744266e-06,0.08624708624708624,0.021248052379050628,0.025081020149358885,0.030110935023771792,0.0026624632149040515,0.2966507177033492,0.006714808396618842,0.0054855003766685565,,0.008325001992087683,False,['bedroom pop'],0.05582347097619732,0.005844464615555465,0.019932483813709583,0.13242181282052162,0.0478095547768523
Speed Drive (From Barbie The Album),Speed Drive (From Barbie The Album),Charli xcx,2023-06-29,USAT22306163,0.5887532519511708,0.008923512747875357,0.05207899703553266,0.03855411075033325,0.06637455768710306,0.6947368421052631,0.0013827737481974859,0.005514823236944063,0.0038040327227047252,0.0030669397003871036,0.003305423241861168,1.912148170355879e-06,,0.01157097777602781,0.11554177821614768,0.017432646592709985,0.004605060279764767,,0.004817493975558441,0.000994838794322039,,,False,"['hyperpop', 'art pop']",0.04600231175081665,0.0023440984950293267,0.004290881468665584,0.018993865379121757,0.023660510038346058
A N X I E T Y (feat. Doechii),Boy Meets World,Sleepy Hallow,2023-09-15,USRC12202650,0.5879527716629979,0.008923512747875357,0.014856229035119822,0.04776834335211749,0.02502609813954048,,0.0004759356306242007,0.0017193711418023166,0.00016552447938285498,0.00010381050371027326,9.030812184467526e-05,,0.005827505827505828,0.005563586659991788,0.06199802733549387,0.020602218700475437,0.0037679897291682043,0.09090909090909091,0.001381374549312968,0.00019706325492420076,,0.0013137041410245754,True,"['brooklyn drill', 'new york drill']",0.020949804394979614,0.000283121876234438,0.0009115908227562949,0.03306084440882277,0.014397043934354342
Forever,Euphoria (Original Score from the HBO Series),Labrinth,2019-10-04,USQX91902499,0.5899539723834301,0.008923512747875357,0.07518259330423356,0.12646364866673102,0.06601263131390304,0.6421052631578947,0.004406440712432739,0.01812123396077691,0.08391606256214598,0.0385640320871048,0.04861467633622635,0.00030505505700602125,0.017482517482517484,0.0001597471045837294,0.02268564182048753,0.01584786053882726,0.000797836434567858,0.00956937799043062,0.0013621196045931852,0.0012633209470040037,,0.010495137772802384,False,[],0.024847525458474504,0.02651055852432954,0.028342633023940855,0.034125345125102076,0.02237184093515898
SLUT ME OUT 2,SLUT ME OUT 2,NLE Choppa,2024-04-12,USWB12401318,0.5895537322393436,0.008923512747875357,0.005018755427246719,0.004430961854093304,0.02755191341510831,0.7473684210526316,,,,1.4022444464354416e-05,1.0734130209060298e-05,,0.011655011655011654,0.0004561792317514245,,0.001584786053882726,0.0011468976551214972,0.08133971291866028,0.00047992174241691073,0.0005528351715323216,0.005076712379949188,0.0005294944949087953,True,[],0.0027578921953410607,1.0734130209060298e-05,1.4022444464354416e-05,0.019912661530636054,0.014349405535114903
He Ya Pyar Sajena,He Ya Pyar Sajena,TOADI,2022-09-30,SGB502283597,0.5883530118070843,0.008923512747875357,5.846126153924374e-07,3.387585515361853e-06,7.242415497582934e-08,0.0,,,0.06073638836215357,0.00032142421639335625,0.0013417420213456897,,,,,,,,,,,5.728076723579424e-06,False,[],5.846126153924374e-07,0.0013417420213456897,0.00032142421639335625,3.387585515361853e-06,7.242415497582934e-08
Silent Hill,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208981,0.5867520512307385,0.008923512747875357,0.03538645983588979,0.10717981812053369,0.02689105443634676,0.6526315789473683,0.0028372554864961198,0.01057475199384046,9.566433789427361e-05,8.603104471633558e-05,8.231563577591896e-05,0.04106357538180309,0.026806526806526808,0.030040893008814216,0.09327885021840215,0.004754358161648178,0.0009268878368410176,0.10047846889952153,0.02380073982400512,0.00150905485817794,,0.0029201225570014383,True,"['hip hop', 'west coast hip hop']",0.04562673572177783,0.0014597855611360193,0.0053303915192783975,0.04814564536928163,0.022960505884996953
The Autotrem 1.0,The Autotrem 1.0 - Single,DJ RICK 013,2023-06-08,QM3DF2224166,0.5901540924554733,0.008923512747875357,0.010702143226681194,0.017085287546727508,0.05172945966057094,0.6526315789473683,0.0018813720963255964,0.00740623420326961,0.02155333383574205,0.002028442318043621,0.002732529768513749,,0.0011655011655011655,,,,,,,,,0.0018423478413763339,False,"['phonk', 'brazilian phonk']",0.010702143226681194,0.002306950932419673,0.004717338260656616,0.009125394356114336,0.05172945966057094
Revenge,Revenge,XXXTENTACION,2017-05-18,USUYG1142409,0.5911546928156894,0.008781869688385274,0.31693998279233526,0.022437672660999237,0.009330583040024716,0.5473684210526315,0.004565019328493111,0.016245823340071665,,,,2.8944921726457457e-08,0.005827505827505828,,,,,,,,0.37551355745918785,,True,['emo rap'],0.34622677012576153,0.004565019328493111,0.016245823340071665,0.014132589244252532,0.0046653059924732215
Attention,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,USA2P2230221,0.592555533319992,0.008781869688385274,0.0899142183381706,0.05485855983576985,0.039033909343856865,0.7473684210526316,0.010697778354942305,0.05780337497841879,0.002503333391686093,0.004003651693901396,0.003196108405326944,0.026502105454772412,0.019813519813519816,0.002651576940167959,0.0021135691137100184,0.001584786053882726,4.977400547480864e-05,0.05741626794258373,0.0004996597346818247,0.0003242946987074766,,0.0017211664882925072,False,['k-pop'],0.023794756031682605,0.006946943380134624,0.030903513336160093,0.02679948566889272,0.021861929601368027
